3261284,0
3261484,0
3261584,50
3261684,200
3261784,463
3261881,462
3261978,461
3262075,461
3262172,459
3262269,458
3262366,455
3262463,452
3262561,448
3262658,437
3262756,420
3262853,400
3262950,373
3263047,347
3263144,315
3263241,278
3263338,239
3263435,197
3263532,153
3263629,116
3263726,84
3263827,55
3263925,45
3264022,40
3264119,38
3264216,34
3264313,34
3264410,34
3264507,34
3264609,33
3264706,33
3264807,33
3264904,34
3265001,32
3265098,33
3265195,32
3265292,33
3265389,33
3265486,33
3265585,33
3265682,32
3265784,35
3265881,35
3265978,38
3266075,42
3266172,67
3266269,120
3266366,187
3266463,268
3266560,347
3266657,412
3266757,444
3266854,453
3266951,459
3267048,459
3267145,461
3267242,463
3267338,463
3267435,460
3267532,457
3267629,456
3267726,455
3267828,458
3267924,457
3268021,459
3268118,455
3268215,441
3268312,377
3268409,285
3268506,172
3268609,77
3268706,41
3268807,36
3268904,33
3269001,34
3269098,33
3269195,33
3269292,32
3269389,33
3269486,32
3269585,34
3269682,36
3269784,41
3269881,86
3269978,185
3270075,315
3270172,418
3270269,446
3270366,452
3270463,453
3270560,451
3270657,456
3270757,456
3270854,455
3270951,455
3271048,456
3271145,451
3271242,424
3271339,332
3271436,189
3271533,68
3271630,37
3271727,34
3271828,32
3271924,32
3272021,32
3272118,32
3272215,32
3272312,32
3272409,38
3272506,90
3272608,228
3272705,375
3272806,440
3272903,444
3273000,444
3273097,442
3273194,439
3273291,439
3273388,436
3273485,433
3273586,416
3273683,314
3273785,146
3273882,45
3273979,32
3274076,30
3274173,30
3274270,29
3274367,30
3274464,31
3274560,36
3274658,76
3274756,208
3274853,364
3274950,408
3275047,412
3275144,410
3275241,407
3275338,404
3275435,400
3275532,402
3275629,373
3275726,243
3275827,80
3275924,36
3276021,32
3276118,31
3276215,29
3276312,29
3276410,29
3276507,37
3276609,130
3276706,292
3276807,372
3276904,304
3277001,148
3277098,36
3277195,20
3277292,18
3277389,15
3277486,13
3277585,14
3277682,12
3277784,14
3277881,16
3277979,15
3278076,16
3278173,16
3278270,16
3278367,20
3278464,19
3278560,19
3278657,19
3278757,20
3278854,18
3278951,18
3279048,17
3279145,17
3279242,17
3279339,17
3279436,18
3279533,14
3279630,18
3279727,16
3279828,17
3279925,16
3280022,17
3280119,18
3280216,16
3280314,19
3280411,17
3280507,17
3280609,18
3280706,17
3280807,17
3280904,19
3281001,18
3281098,17
3281195,17
3281292,16
3281389,17
3281486,17
3281585,17
3281682,19
3281784,16
3281881,17
3281978,17
3282075,19
3282172,18
3282269,17
3282366,18
3282463,18
3282560,20
3282658,19
3282757,19
3282854,17
3282951,18
3283048,16
3283145,17
3283243,15
3283340,17
3283437,16
3283533,17
3283630,17
3283727,17
3283829,18
3283926,17
3284023,16
3284120,17
3284216,18
3284313,18
3284410,17
3284507,16
3284609,19
3284706,20
3284807,18
3284904,17
3285001,17
3285098,17
3285195,16
3285292,17
3285389,17
3285486,18
3285585,16
3285682,16
3285784,20
3285881,18
3285978,19
3286075,16
3286172,17
